analysis_id	source_analysis_id	source_label	trait_ontology_name	trait_ontology_id	source_file	source_bundle_id	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build
ukb-b-1041	ukb-b-1041	Traffic intensity on the nearest major road			/local-scratch/data/opengwas/igd/ukb-b-1041/ukb-b-1041.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	456380				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10412	ukb-b-10412	Time to complete round			/local-scratch/data/opengwas/igd/ukb-b-10412/ukb-b-10412.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	110323				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10414	ukb-b-10414	Sum of road length of major roads within 100m			/local-scratch/data/opengwas/igd/ukb-b-10414/ukb-b-10414.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	456380				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10415	ukb-b-10415	Illnesses of father: None of the above (group 2)			/local-scratch/data/opengwas/igd/ukb-b-10415/ukb-b-10415.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	407392				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10433	ukb-b-10433	Treatment/medication code: fexofenadine			/local-scratch/data/opengwas/igd/ukb-b-10433/ukb-b-10433.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-1044	ukb-b-1044	Operative procedures - main OPCS: H20.6 Fibreoptic endoscopic resection of lesion of colon NEC			/local-scratch/data/opengwas/igd/ukb-b-1044/ukb-b-1044.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10444	ukb-b-10444	Operative procedures - main OPCS: X50.1 Direct current cardioversion			/local-scratch/data/opengwas/igd/ukb-b-10444/ukb-b-10444.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10454	ukb-b-10454	Illnesses of mother: None of the above (group 1)			/local-scratch/data/opengwas/igd/ukb-b-10454/ukb-b-10454.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	425729				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-1046	ukb-b-1046	Duration of strenuous sports			/local-scratch/data/opengwas/igd/ukb-b-1046/ukb-b-1046.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	46993				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10477	ukb-b-10477	PCT where patients GP was registered: LAMBETH PCT			/local-scratch/data/opengwas/igd/ukb-b-10477/ukb-b-10477.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
