analysis_id	field	value	method	evidence	notes
ukb-b-10778	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1072;n_controls=461938	
ukb-b-10778	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10783	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=309513;n_controls=59166	
ukb-b-10783	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10787	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-10787	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10793	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-10793	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10797	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=21415;n_controls=5052	
ukb-b-10797	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10806	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=185577;n_controls=275821	
ukb-b-10806	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10807	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=28351;n_controls=394866	
ukb-b-10807	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10810	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=10371;n_controls=452639	
ukb-b-10810	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10813	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1786;n_controls=461224	
ukb-b-10813	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10817	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-10817	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10821	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1079;n_controls=461931	
ukb-b-10821	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10827	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=15664;n_controls=447269	
ukb-b-10827	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10829	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-10829	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10830	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-10830	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10831	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-10831	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10847	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=4217;n_controls=458793	
ukb-b-10847	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10848	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1136;n_controls=461874	
ukb-b-10848	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10849	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1145;n_controls=461865	
ukb-b-10849	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10852	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=462978;n_controls=22	
ukb-b-10852	stored_effect_scale	sd	opengwas_api_gwasinfo		
