analysis_index	analysis_id	source_analysis_id	source_label	trait_ontology_name	trait_ontology_id	source_file	source_url	source_bundle_id	filtered_file	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build	tissue	context
208	GCST90202263	GCST90202263	Dihomo-linolenate (20:3n3 or n6) levels	dihomo-linolenate 20:3n3 or n6 measurement	http://www.ebi.ac.uk/efo/EFO_0021046	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202263_GCST90202263.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202263/harmonised/GCST90202263.h.tsv.gz		GCST90202263_GCST90202263.filtered.tsv.gz	0f84f34e0c902345517a8d9377d33454956142214fc1b4c4de06cbd50609cda0	sha256	159542	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.986044556092314	estimated_from_source_maf	sd	total	analysis_level	104	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
209	GCST90202264	GCST90202264	Glycerophosphoethanolamine levels	glycerophosphoethanolamine measurement	http://www.ebi.ac.uk/efo/EFO_0800253	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202264_GCST90202264.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202264/harmonised/GCST90202264.h.tsv.gz		GCST90202264_GCST90202264.filtered.tsv.gz	da5e0dda54f8004762364f415e250711f10f8a5298c297d719da5873188f0272	sha256	160400	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.913004892261338	estimated_from_source_maf	sd	total	analysis_level	103	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
210	GCST90202265	GCST90202265	Bilirubin (E,Z or Z,E) levels	bilirubin measurement	http://www.ebi.ac.uk/efo/EFO_0004570	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202265_GCST90202265.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202265/harmonised/GCST90202265.h.tsv.gz		GCST90202265_GCST90202265.filtered.tsv.gz	e93bc89047118902e00f2f5756eb7cb806f1f4b0f790783b213dbaf96b58c54f	sha256	159516	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.959833386825903	estimated_from_source_maf	sd	total	analysis_level	104	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
211	GCST90202266	GCST90202266	3-methyladipate levels	3-methyladipate measurement	http://www.ebi.ac.uk/efo/EFO_0800263	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202266_GCST90202266.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202266/harmonised/GCST90202266.h.tsv.gz		GCST90202266_GCST90202266.filtered.tsv.gz	daa936dd66e03b2e286dbee0a8b4040500fc0da99613bab027c90352a462258c	sha256	223726	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.89831226231025	estimated_from_source_maf	sd	total	analysis_level	82	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
212	GCST90202267	GCST90202267	Pyrraline levels	pyrraline measurement	http://www.ebi.ac.uk/efo/EFO_0800954	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202267_GCST90202267.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202267/harmonised/GCST90202267.h.tsv.gz		GCST90202267_GCST90202267.filtered.tsv.gz	c8b0f8a9ce2208804ff6e74ba7cc3b42b771380dd1e21835185ad21db3b2a620	sha256	160908	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.987922392943171	estimated_from_source_maf	sd	total	analysis_level	102	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
213	GCST90202268	GCST90202268	Thymol sulfate levels	thymol sulfate measurement	http://www.ebi.ac.uk/efo/EFO_0021170	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202268_GCST90202268.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202268/harmonised/GCST90202268.h.tsv.gz		GCST90202268_GCST90202268.filtered.tsv.gz	8b085311d8e5e189f1612753a495a402acf4e5f658b740ba581a352e4552e982	sha256	155857	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.958170816083483	estimated_from_source_maf	sd	total	analysis_level	99	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
214	GCST90202269	GCST90202269	Chiro-inositol levels	chiro-inositol measurement	http://www.ebi.ac.uk/efo/EFO_0800270	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202269_GCST90202269.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202269/harmonised/GCST90202269.h.tsv.gz		GCST90202269_GCST90202269.filtered.tsv.gz	e6441f4202cec019a1c067792d72e59fadbceef7d5ba3b7c7736ff6b99226f40	sha256	157763	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.894381260786581	estimated_from_source_maf	sd	total	analysis_level	64	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
215	GCST90202270	GCST90202270	O-cresol sulfate levels	O-cresol sulfate measurement	http://www.ebi.ac.uk/efo/EFO_0800955	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202270_GCST90202270.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202270/harmonised/GCST90202270.h.tsv.gz		GCST90202270_GCST90202270.filtered.tsv.gz	ce8532058be50604a2c37e4d8d07dec17a62acd1968c50bbb61b6d0e7106b898	sha256	158054	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.954919324993749	estimated_from_source_maf	sd	total	analysis_level	85	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
216	GCST90202271	GCST90202271	Sphinganine-1-phosphate levels	sphinganine-1-phosphate measurement	http://www.ebi.ac.uk/efo/EFO_0800274	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202271_GCST90202271.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202271/harmonised/GCST90202271.h.tsv.gz		GCST90202271_GCST90202271.filtered.tsv.gz	e99916004b4cbdb03babc1a8db6f6e0b8e414935a7c20e52def3018ae0326dcc	sha256	159359	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.969693934346976	estimated_from_source_maf	sd	total	analysis_level	104	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
217	GCST90202272	GCST90202272	4-ethylphenylsulfate levels	4-ethylphenylsulfate measurement	http://www.ebi.ac.uk/efo/EFO_0021148	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202272_GCST90202272.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202272/harmonised/GCST90202272.h.tsv.gz		GCST90202272_GCST90202272.filtered.tsv.gz	11310c060f273c94b284c103261754d9c338e00e21b8a9e9b7c213a20c3abed7	sha256	159752	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.964978860777351	estimated_from_source_maf	sd	total	analysis_level	104	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
218	GCST90202273	GCST90202273	1-stearoyl-2-arachidonoyl-GPC (18:0/20:4) levels	1-stearoyl-2-arachidonoyl-GPC (18:0/20:4) measurement	http://www.ebi.ac.uk/efo/EFO_0800271	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202273_GCST90202273.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202273/harmonised/GCST90202273.h.tsv.gz		GCST90202273_GCST90202273.filtered.tsv.gz	eddec85f6686fb4b76ab804195945d6000ffe1304981c58a696e35178ab59522	sha256	253889	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.99452897580337	estimated_from_source_maf	sd	total	analysis_level	103	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
219	GCST90202274	GCST90202274	1-linoleoyl-GPI (18:2) levels	1-linoleoyl-GPI (18:2) measurement	http://www.ebi.ac.uk/efo/EFO_0800266	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202274_GCST90202274.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202274/harmonised/GCST90202274.h.tsv.gz		GCST90202274_GCST90202274.filtered.tsv.gz	b14530b250c7ffe4ef94ca7cec8bcb5dee7ba96060fc0b3a0bec0f0616ccb176	sha256	159809	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.926572128789882	estimated_from_source_maf	sd	total	analysis_level	104	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
220	GCST90202275	GCST90202275	1-stearoyl-2-oleoyl-GPE (18:0/18:1) levels	1-stearoyl-2-oleoyl-GPE (18:0/18:1) measurement	http://www.ebi.ac.uk/efo/EFO_0800269	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202275_GCST90202275.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202275/harmonised/GCST90202275.h.tsv.gz		GCST90202275_GCST90202275.filtered.tsv.gz	dd75b99315a750d975d8eb5f97e3b2ab3278be9e4f4a1b45aca5f42b46403d5f	sha256	159175	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.979792144772026	estimated_from_source_maf	sd	total	analysis_level	104	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
221	GCST90202276	GCST90202276	Dimethylarginine (sdma + adma) levels	dimethylarginine (SDMA + ADMA) measurement	http://www.ebi.ac.uk/efo/EFO_0800037	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202276_GCST90202276.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202276/harmonised/GCST90202276.h.tsv.gz		GCST90202276_GCST90202276.filtered.tsv.gz	f61ca8cc2c140587d93d438d37ad4b85c66432b3961f7c6fac455677b372d045	sha256	159918	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.870434514275657	estimated_from_source_maf	sd	total	analysis_level	103	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
222	GCST90202277	GCST90202277	Gamma-glutamylalanine levels	gamma-glutamylalanine measurement	http://www.ebi.ac.uk/efo/EFO_0800675	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202277_GCST90202277.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202277/harmonised/GCST90202277.h.tsv.gz		GCST90202277_GCST90202277.filtered.tsv.gz	09b83e12021f2f96bd64bd0707c46903fce6eae757f566320e7ce52ac9b71c6c	sha256	155463	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.993527228455053	estimated_from_source_maf	sd	total	analysis_level	88	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
223	GCST90202278	GCST90202278	4-allylphenol sulfate levels	4-allylphenol sulfate measurement	http://www.ebi.ac.uk/efo/EFO_0800958	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202278_GCST90202278.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202278/harmonised/GCST90202278.h.tsv.gz		GCST90202278_GCST90202278.filtered.tsv.gz	ed92cda8ba83c0ee95848b426446819bb008d643dbc6a83502d312286c4f3a60	sha256	159054	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.946415185246656	estimated_from_source_maf	sd	total	analysis_level	104	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
224	GCST90202279	GCST90202279	Glycosyl-N-stearoyl-sphingosine (d18:1/18:0) levels	glycosyl-N-stearoyl-sphingosine (d18:1/18:0) measurement	http://www.ebi.ac.uk/efo/EFO_0800275	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202279_GCST90202279.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202279/harmonised/GCST90202279.h.tsv.gz		GCST90202279_GCST90202279.filtered.tsv.gz	0ce68e00e9d04e11fb6ecd6cb95b9aed24b5d62252326d1b13753a212f765b14	sha256	159151	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.934738749273132	estimated_from_source_maf	sd	total	analysis_level	104	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
225	GCST90202280	GCST90202280	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2) levels	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2) measurement	http://www.ebi.ac.uk/efo/EFO_0800272	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202280_GCST90202280.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202280/harmonised/GCST90202280.h.tsv.gz		GCST90202280_GCST90202280.filtered.tsv.gz	3a59e9ef1e89a701666d3ca44b7affa02b40cda90a7b0d894559e3d260950b07	sha256	160151	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.970599207532126	estimated_from_source_maf	sd	total	analysis_level	103	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
226	GCST90202281	GCST90202281	1-oleoyl-GPI (18:1) levels	1-oleoyl-GPI (18:1) measurement	http://www.ebi.ac.uk/efo/EFO_0800265	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202281_GCST90202281.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202281/harmonised/GCST90202281.h.tsv.gz		GCST90202281_GCST90202281.filtered.tsv.gz	597338776be68032c81780f2b1176d087aeba7a46d9f55d4efd41c8aefad614f	sha256	159019	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.92310345323586	estimated_from_source_maf	sd	total	analysis_level	104	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
227	GCST90202282	GCST90202282	N-acetylserine levels	N-acetylserine measurement	http://www.ebi.ac.uk/efo/EFO_0800038	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202282_GCST90202282.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202282/harmonised/GCST90202282.h.tsv.gz		GCST90202282_GCST90202282.filtered.tsv.gz	08ca15ae43859ffd3b7b540f39c18822fdc5b777b8b612e0e619e39f0ddca93d	sha256	160522	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.90037336542744	estimated_from_source_maf	sd	total	analysis_level	102	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
228	GCST90202283	GCST90202283	Succinylcarnitine (C4DC) levels	succinylcarnitine measurement	http://www.ebi.ac.uk/efo/EFO_0020020	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202283_GCST90202283.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202283/harmonised/GCST90202283.h.tsv.gz		GCST90202283_GCST90202283.filtered.tsv.gz	0fcb25064c162eff84fbb9825eb9801d76fc90043e90335add474d861a271bd4	sha256	159281	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.887264045877805	estimated_from_source_maf	sd	total	analysis_level	104	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
229	GCST90202284	GCST90202284	Bilirubin (E,E) levels	bilirubin measurement	http://www.ebi.ac.uk/efo/EFO_0004570	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202284_GCST90202284.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202284/harmonised/GCST90202284.h.tsv.gz		GCST90202284_GCST90202284.filtered.tsv.gz	19b57370b49a6cfe11957ded78f84a59dacb0461a7c311b29cc9da7a0fbf8906	sha256	159401	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.962212235725666	estimated_from_source_maf	sd	total	analysis_level	104	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
230	GCST90202285	GCST90202285	5alpha-androstan-3beta,17alpha-diol disulfate levels	5alpha-androstan-3beta,17alpha-diol disulfate measurement	http://www.ebi.ac.uk/efo/EFO_0800289	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202285_GCST90202285.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202285/harmonised/GCST90202285.h.tsv.gz		GCST90202285_GCST90202285.filtered.tsv.gz	66e626d192665ffad2d26eaf4e29246040a8ebc23515cf127b32a51806a17f1c	sha256	156860	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.824644604476509	estimated_from_source_maf	sd	total	analysis_level	97	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
231	GCST90202286	GCST90202286	5alpha-androstan-3beta,17beta-diol disulfate levels	5alpha-androstan-3beta,17beta-diol disulfate measurement	http://www.ebi.ac.uk/efo/EFO_0021115	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202286_GCST90202286.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202286/harmonised/GCST90202286.h.tsv.gz		GCST90202286_GCST90202286.filtered.tsv.gz	ea6b1448847886a38f8c792697939677af98fd37d0d49cd8c67cc793d0803c66	sha256	159989	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.764036049955618	estimated_from_source_maf	sd	total	analysis_level	103	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
232	GCST90202287	GCST90202287	5alpha-pregnan-3beta,20alpha-diol disulfate levels	5alpha-pregnan-diol disulfate measurement	http://www.ebi.ac.uk/efo/EFO_0800286	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202287_GCST90202287.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202287/harmonised/GCST90202287.h.tsv.gz		GCST90202287_GCST90202287.filtered.tsv.gz	63cb8cf3e1caccae1e2c7c91aa2e2cc77b8ff184c56f37a9b7ebe780cf069720	sha256	160770	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.992442008024277	estimated_from_source_maf	sd	total	analysis_level	102	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
233	GCST90202288	GCST90202288	N-methylproline levels	N-methylproline measurement	http://www.ebi.ac.uk/efo/EFO_0800039	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202288_GCST90202288.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202288/harmonised/GCST90202288.h.tsv.gz		GCST90202288_GCST90202288.filtered.tsv.gz	adcf70f8ffe41d8b9e42d4ba80b0c7645a7c4d7eb88c584471a6c4824ce5037a	sha256	159182	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	1.0136497520518	estimated_from_source_maf	sd	total	analysis_level	104	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
234	GCST90202289	GCST90202289	5alpha-androstan-3alpha,17alpha-diol monosulfate levels	5alpha-androstan-3alpha,17alpha-diol monosulfate measurement	http://www.ebi.ac.uk/efo/EFO_0800283	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202289_GCST90202289.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202289/harmonised/GCST90202289.h.tsv.gz		GCST90202289_GCST90202289.filtered.tsv.gz	30083f2944a24084ea77911c27066666f994cb2f78621eba6f02286dd8dd5518	sha256	264961	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.825814867949303	estimated_from_source_maf	sd	total	analysis_level	94	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
235	GCST90202290	GCST90202290	Pregnenediol disulfate (C21H34O8S2) levels	pregnenediol disulfate (C21H34O8S2) measurement	http://www.ebi.ac.uk/efo/EFO_0800279	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202290_GCST90202290.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202290/harmonised/GCST90202290.h.tsv.gz		GCST90202290_GCST90202290.filtered.tsv.gz	90da21ca19fbaa5446a2fe5074a1141ad398ab2ce8f907695b55088ee2cb3165	sha256	159334	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.838204026285601	estimated_from_source_maf	sd	total	analysis_level	104	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
236	GCST90202291	GCST90202291	Glycocholenate sulfate levels	glycocholenate sulfate measurement	http://www.ebi.ac.uk/efo/EFO_0800276	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202291_GCST90202291.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202291/harmonised/GCST90202291.h.tsv.gz		GCST90202291_GCST90202291.filtered.tsv.gz	219363600399331d4d89d500318e1b6ed264b182b4c61eb3140da816b9b88cde	sha256	160476	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	1.0015077600499	estimated_from_source_maf	sd	total	analysis_level	103	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
237	GCST90202292	GCST90202292	21-hydroxypregnenolone disulfate levels	21-hydroxypregnenolone disulfate measurement	http://www.ebi.ac.uk/efo/EFO_0800281	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202292_GCST90202292.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202292/harmonised/GCST90202292.h.tsv.gz		GCST90202292_GCST90202292.filtered.tsv.gz	1eb84405c088d92b1e7551b9ded84eccb9a51c926f01e43f1da200893eb44a76	sha256	160529	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.944162451367763	estimated_from_source_maf	sd	total	analysis_level	101	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
238	GCST90202293	GCST90202293	5alpha-pregnan-diol disulfate levels	5alpha-pregnan-diol disulfate measurement	http://www.ebi.ac.uk/efo/EFO_0800286	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202293_GCST90202293.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202293/harmonised/GCST90202293.h.tsv.gz		GCST90202293_GCST90202293.filtered.tsv.gz	b8d170cc2757b9004d2dca7ffd4e31d6db8ecce257b3c9c1fc305cda67982d56	sha256	214177	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.96626480141282	estimated_from_source_maf	sd	total	analysis_level	72	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
