analysis_id	status	error	attempt	retry_count	source_url	downloaded_bytes	input_rows	retained_rows	retained_fraction	cis_rows	significant_trans_regions	significant_trans_rows	suggestive_leads	output_file	output_bytes	checksum_algorithm	checksum	download_seconds	filter_seconds	total_seconds
GCST90202063	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202063/harmonised/GCST90202063.h.tsv.gz	83425649	4201699	23	5e-06	0	0	0	23	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202063_GCST90202063.filtered.tsv.gz	889	sha256	f4ce9e5b84959241a14fd34c77839b98e8d0345b676572683c480574f65c1569	2.9	8	10.9
GCST90202064	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202064/harmonised/GCST90202064.h.tsv.gz	87832597	4202023	15	4e-06	0	0	0	15	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202064_GCST90202064.filtered.tsv.gz	625	sha256	dab3aae9edd60e1a83f20c5047d7d22dda8c2a14174d491c5d2b90dfa700f3a4	5.3	7.9	13.2
GCST90202065	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202065/harmonised/GCST90202065.h.tsv.gz	81528411	4201403	3707	0.000882	0	1	3665	42	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202065_GCST90202065.filtered.tsv.gz	73976	sha256	60ea5eb7c00d9afaa540f4fbb89d77377ee1fac35f8b6690740e058807402ab2	3.6	7.8	11.4
GCST90202066	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202066/harmonised/GCST90202066.h.tsv.gz	87299910	4171012	2908	0.000697	0	1	2889	19	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202066_GCST90202066.filtered.tsv.gz	55834	sha256	84743b7e0910cc113ace86085c23b6b3275c92d0bc2f1c7c5dd932aaef0a832b	3	8.4	11.4
GCST90202067	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202067/harmonised/GCST90202067.h.tsv.gz	81113169	4234725	10449	0.002467	0	2	10417	32	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202067_GCST90202067.filtered.tsv.gz	181678	sha256	bac4ddc31af15d8d0ca025feb2578c338a09a241ffa01a503ad6efbbbf6ae0a5	1.7	9.7	11.4
GCST90202068	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202068/harmonised/GCST90202068.h.tsv.gz	82986069	4171012	18	4e-06	0	0	0	18	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202068_GCST90202068.filtered.tsv.gz	716	sha256	1eb575b37814ddad8006d789d3d04c76f5c77946be77d2de83512a5c73198b49	2.8	8.2	11
GCST90202069	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202069/harmonised/GCST90202069.h.tsv.gz	83655087	4208446	23	5e-06	0	0	0	23	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202069_GCST90202069.filtered.tsv.gz	887	sha256	8f3e63dab495330e8bd0b10f8719d7b5fb61c350475757a5d66d1c468745c115	0.9	7.7	8.6
GCST90202070	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202070/harmonised/GCST90202070.h.tsv.gz	82074575	4228323	3020	0.000714	0	1	2996	24	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202070_GCST90202070.filtered.tsv.gz	60141	sha256	a07202b1880121cf9ba491b36535b7f1c4ac5bdc72bb5c405d8d0573f6f37878	3.2	9.4	12.6
GCST90202071	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202071/harmonised/GCST90202071.h.tsv.gz	87563951	4186837	20	5e-06	0	0	0	20	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202071_GCST90202071.filtered.tsv.gz	776	sha256	e2322651663cff5fb3cd3c7b46422dfb32bc3ded98479de2b1cc9958fc8f0489	3.7	8.3	12
GCST90202072	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202072/harmonised/GCST90202072.h.tsv.gz	83296737	4188209	16	4e-06	0	0	0	16	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202072_GCST90202072.filtered.tsv.gz	667	sha256	eca084dd625b459528d5cd4a82f76919663767ce183de0ddb1b0c1879d58a648	5.8	7.8	13.6
