analysis_id	status	error	attempt	retry_count	source_url	downloaded_bytes	input_rows	retained_rows	retained_fraction	cis_rows	significant_trans_regions	significant_trans_rows	suggestive_leads	qc_panel_rows	output_file	output_bytes	checksum_algorithm	checksum	download_seconds	filter_seconds	total_seconds
GCST90202250	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202250/harmonised/GCST90202250.h.tsv.gz	83883087	4231539	5804	0.001372	0	0	0	20	5784	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202250_GCST90202250.filtered.tsv.gz	161491	sha256	d790a706e74eca74271f2ba728ab663ffa33b6005b17f35e0414c91dedd2d4cf	5.6	10.7	16.4
GCST90202251	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202251/harmonised/GCST90202251.h.tsv.gz	86811647	4179037	5702	0.001364	0	0	0	13	5689	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202251_GCST90202251.filtered.tsv.gz	159309	sha256	183dacad5db92217233b3209986786505169fcbc79e6e49bbd6275978b1a4905	6.6	12.3	19
GCST90202252	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202252/harmonised/GCST90202252.h.tsv.gz	82903678	4171012	14380	0.003448	0	2	8677	17	5696	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202252_GCST90202252.filtered.tsv.gz	319033	sha256	7553573e558165dad791e6104b684733fe6ef0fd38b1f0ab4f5d9754e8ec23a7	5.7	11.6	17.3
GCST90202253	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202253/harmonised/GCST90202253.h.tsv.gz	87534681	4185598	7865	0.001879	0	1	2109	42	5719	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202253_GCST90202253.filtered.tsv.gz	197377	sha256	051fdf02ce163449b3275f892bfcf2642933ec6258408a1234a65ca9f6f8c5dd	6.9	11.8	18.7
GCST90202254	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202254/harmonised/GCST90202254.h.tsv.gz	87286579	4171012	5721	0.001372	0	0	0	25	5696	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202254_GCST90202254.filtered.tsv.gz	159584	sha256	c5410f3b1512df6fd2deaa785741604e3f18b54968e6b52e5cd010ab98fab55c	6.7	11	17.7
GCST90202255	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202255/harmonised/GCST90202255.h.tsv.gz	87286630	4171012	5720	0.001371	0	0	0	24	5696	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202255_GCST90202255.filtered.tsv.gz	159540	sha256	b85d6828fd2528be9027621f207ca8412df09087379db269e233dbd85e818dd2	5.2	11.4	16.6
GCST90202256	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202256/harmonised/GCST90202256.h.tsv.gz	87910322	4205874	13208	0.00314	0	2	7441	28	5747	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202256_GCST90202256.filtered.tsv.gz	289993	sha256	8aff6f2a3026111f08d8b4fba5ae2bd54647597b22bc6df88ed13d42cf5cef66	6.1	9.6	15.8
GCST90202257	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202257/harmonised/GCST90202257.h.tsv.gz	87527953	4185464	5736	0.00137	0	0	0	20	5716	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202257_GCST90202257.filtered.tsv.gz	159997	sha256	27239adc059ee0939fb31ceaa1837ccdf875ba2a51db2bce7395ae21c4c615c8	6.2	9.8	16.1
GCST90202258	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202258/harmonised/GCST90202258.h.tsv.gz	83241901	4186151	5739	0.001371	0	0	0	19	5720	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202258_GCST90202258.filtered.tsv.gz	160206	sha256	b13e5e0d7c28f5ee33889ee383f3748adb5f95c0361a90b4bcb3fe282c306c81	5.6	11	16.6
GCST90202259	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202259/harmonised/GCST90202259.h.tsv.gz	87286036	4171012	8153	0.001955	0	1	2441	21	5696	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202259_GCST90202259.filtered.tsv.gz	205517	sha256	28f7dbb62130e03e10f07f188e5fe73d9a88b182525fb702a1a135903c349967	6	9.5	15.5
