analysis_id	source_analysis_id	status	skip_reason	af_source	ancestry_reference_id	original_sd	original_sd_method	n_variants_considered	n_variants_overlapping	n_variants_excluded_ambiguous	n_variants_excluded_mismatch	n_variants_excluded_missing_af	n_variants_excluded_maf	n_variants_retained	maf_min	maf_max	implied_sd_median	sd_dispersion	sd_notes	estimator_version
GCST90203012	GCST90203012	passed	""	source	""	0.862879720969102	estimated_from_source_maf	11325	11325	0	0	0	0	11325	0.01	0.5	0.862879720969102	0.0638579045952912	median implied SD=0.863, dispersion=0.064, n=11325	effect_scale_validation.R:v1
GCST90203013	GCST90203013	passed	""	source	""	0.92718290728047	estimated_from_source_maf	5739	5739	0	0	0	0	5739	0.01	0.5	0.92718290728047	0.0534289262468038	median implied SD=0.927, dispersion=0.053, n=5739	effect_scale_validation.R:v1
GCST90203014	GCST90203014	passed	""	source	""	0.948205297006878	estimated_from_source_maf	5767	5767	0	0	0	4	5763	0.01	0.5	0.948205297006878	0.0671281011401728	median implied SD=0.948, dispersion=0.067, n=5763	effect_scale_validation.R:v1
GCST90203015	GCST90203015	passed	""	source	""	0.881411772985147	estimated_from_source_maf	5734	5734	0	0	0	0	5734	0.01	0.5	0.881411772985147	0.0537290900366519	median implied SD=0.881, dispersion=0.054, n=5734	effect_scale_validation.R:v1
GCST90203016	GCST90203016	passed	""	source	""	0.922448152568937	estimated_from_source_maf	5766	5766	0	0	0	0	5766	0.01	0.5	0.922448152568937	0.0539355954877855	median implied SD=0.922, dispersion=0.054, n=5766	effect_scale_validation.R:v1
GCST90203017	GCST90203017	passed	""	source	""	0.991339195452866	estimated_from_source_maf	5787	5787	0	0	0	0	5787	0.01	0.5	0.991339195452866	0.0568829602847016	median implied SD=0.991, dispersion=0.057, n=5787	effect_scale_validation.R:v1
GCST90203018	GCST90203018	passed	""	source	""	0.913965387864942	estimated_from_source_maf	10800	10800	0	0	0	0	10800	0.01	0.5	0.913965387864942	0.0627963053374946	median implied SD=0.914, dispersion=0.063, n=10800	effect_scale_validation.R:v1
GCST90203019	GCST90203019	passed	""	source	""	0.90479303983003	estimated_from_source_maf	5745	5745	0	0	0	0	5745	0.01	0.5	0.90479303983003	0.0539046686045012	median implied SD=0.905, dispersion=0.054, n=5745	effect_scale_validation.R:v1
GCST90203020	GCST90203020	passed	""	source	""	0.958848766232896	estimated_from_source_maf	5551	5551	0	0	0	3	5548	0.01	0.5	0.958848766232896	0.0681067169711647	median implied SD=0.959, dispersion=0.068, n=5548	effect_scale_validation.R:v1
GCST90203021	GCST90203021	passed	""	source	""	0.960912150936064	estimated_from_source_maf	5818	5818	0	0	0	0	5818	0.01	0.5	0.960912150936064	0.0573045155523545	median implied SD=0.961, dispersion=0.057, n=5818	effect_scale_validation.R:v1
GCST90203022	GCST90203022	passed	""	source	""	0.978570139706224	estimated_from_source_maf	5809	5809	0	0	0	1	5808	0.01	0.5	0.978570139706224	0.0693537983834374	median implied SD=0.979, dispersion=0.069, n=5808	effect_scale_validation.R:v1
GCST90203023	GCST90203023	passed	""	source	""	0.941633794284852	estimated_from_source_maf	5781	5781	0	0	0	0	5781	0.01	0.5	0.941633794284852	0.0542966032408583	median implied SD=0.942, dispersion=0.054, n=5781	effect_scale_validation.R:v1
GCST90203024	GCST90203024	passed	""	source	""	0.987644558436947	estimated_from_source_maf	5753	5753	0	0	0	0	5753	0.01	0.5	0.987644558436947	0.0566771723280906	median implied SD=0.988, dispersion=0.057, n=5753	effect_scale_validation.R:v1
GCST90203025	GCST90203025	passed	""	source	""	0.990437359157627	estimated_from_source_maf	8035	8035	0	0	0	0	8035	0.01	0.5	0.990437359157627	0.0572271418169046	median implied SD=0.990, dispersion=0.057, n=8035	effect_scale_validation.R:v1
GCST90203026	GCST90203026	passed	""	source	""	0.971455415926932	estimated_from_source_maf	5716	5716	0	0	0	0	5716	0.01	0.5	0.971455415926932	0.0535330413168168	median implied SD=0.971, dispersion=0.054, n=5716	effect_scale_validation.R:v1
GCST90203027	GCST90203027	passed	""	source	""	0.963644921517071	estimated_from_source_maf	5633	5633	0	0	0	0	5633	0.01	0.5	0.963644921517071	0.0579749581965558	median implied SD=0.964, dispersion=0.058, n=5633	effect_scale_validation.R:v1
GCST90203028	GCST90203028	passed	""	source	""	0.960610367575524	estimated_from_source_maf	10033	10033	0	0	0	0	10033	0.01	0.5	0.960610367575524	0.0549554062150142	median implied SD=0.961, dispersion=0.055, n=10033	effect_scale_validation.R:v1
GCST90203029	GCST90203029	passed	""	source	""	0.965647906577921	estimated_from_source_maf	5591	5591	0	0	0	0	5591	0.01	0.5	0.965647906577921	0.0542034831022427	median implied SD=0.966, dispersion=0.054, n=5591	effect_scale_validation.R:v1
GCST90203030	GCST90203030	passed	""	source	""	1.00048421218951	estimated_from_source_maf	5724	5724	0	0	0	0	5724	0.01	0.5	1.00048421218951	0.0535622354060166	median implied SD=1.000, dispersion=0.054, n=5724	effect_scale_validation.R:v1
GCST90203031	GCST90203031	passed	""	source	""	0.957397608936686	estimated_from_source_maf	5714	5714	0	0	0	0	5714	0.01	0.5	0.957397608936686	0.053141379006851	median implied SD=0.957, dispersion=0.053, n=5714	effect_scale_validation.R:v1
GCST90203032	GCST90203032	passed	""	source	""	0.999922553075299	estimated_from_source_maf	5711	5711	0	0	0	0	5711	0.01	0.5	0.999922553075299	0.0537174185706663	median implied SD=1.000, dispersion=0.054, n=5711	effect_scale_validation.R:v1
GCST90203033	GCST90203033	passed	""	source	""	0.957740131133213	estimated_from_source_maf	5791	5791	0	0	0	0	5791	0.01	0.5	0.957740131133213	0.0625860995121192	median implied SD=0.958, dispersion=0.063, n=5791	effect_scale_validation.R:v1
GCST90203034	GCST90203034	passed	""	source	""	0.88405016100005	estimated_from_source_maf	9296	9296	0	0	0	0	9296	0.01	0.5	0.88405016100005	0.0560778763386507	median implied SD=0.884, dispersion=0.056, n=9296	effect_scale_validation.R:v1
GCST90203035	GCST90203035	passed	""	source	""	0.942245395426805	estimated_from_source_maf	9842	9842	0	0	0	0	9842	0.01	0.5	0.942245395426805	0.0507249733788847	median implied SD=0.942, dispersion=0.051, n=9842	effect_scale_validation.R:v1
GCST90203036	GCST90203036	passed	""	source	""	0.961736684419271	estimated_from_source_maf	13894	13894	0	0	0	16	13878	0.01	0.5	0.961736684419271	0.0703330984933935	median implied SD=0.962, dispersion=0.070, n=13878	effect_scale_validation.R:v1
GCST90203037	GCST90203037	passed	""	source	""	0.943820984349977	estimated_from_source_maf	5761	5761	0	0	0	0	5761	0.01	0.5	0.943820984349977	0.0539473172435293	median implied SD=0.944, dispersion=0.054, n=5761	effect_scale_validation.R:v1
