analysis_index	analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	trait_ontology_mapping_method	source_file	source_url	source_bundle_id	filtered_file	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	first_author	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build	tissue	context
31	GCST90202066	GCST90202066	3-methyl-2-oxovalerate levels	3-methyl-2-oxovalerate levels	3-methyl-2-oxovalerate measurement	EFO:0021021	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202066_GCST90202066.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202066/harmonised/GCST90202066.h.tsv.gz		GCST90202066_GCST90202066.filtered.tsv.gz	bee3eef0fd4dda43f9f6b964123221c05fcb594a6ceb9fb5e129353b5c5ebc8f	sha256	214141	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	East Asian	EAS	af_assigned	sd	0.986167906156177	estimated_from_source_maf	sd	total	analysis_level	104	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
32	GCST90202067	GCST90202067	Glycodeoxycholate levels	Glycodeoxycholate levels	glycodeoxycholate measurement	EFO:0010493	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202067_GCST90202067.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202067/harmonised/GCST90202067.h.tsv.gz		GCST90202067_GCST90202067.filtered.tsv.gz	1e932bd5a430e96ee119852975d4364e79bec9464db07aea03d4e7170f2cd28d	sha256	341997	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	East Asian	EAS	af_assigned	sd	0.953125813862381	estimated_from_source_maf	sd	total	analysis_level	71	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
33	GCST90202068	GCST90202068	Methionine sulfoxide levels	Methionine sulfoxide levels	Methionine sulfoxide measurement	EFO:0021650	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202068_GCST90202068.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202068/harmonised/GCST90202068.h.tsv.gz		GCST90202068_GCST90202068.filtered.tsv.gz	f0df270fa5f4e04e067928f8cec58e6dd58321767c547bd9d8702586bc8e7872	sha256	159476	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	East Asian	EAS	af_assigned	sd	0.963608467468369	estimated_from_source_maf	sd	total	analysis_level	104	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
34	GCST90202069	GCST90202069	Imidazole lactate levels	Imidazole lactate levels	imidazole lactate measurement	EFO:0800004	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202069_GCST90202069.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202069/harmonised/GCST90202069.h.tsv.gz		GCST90202069_GCST90202069.filtered.tsv.gz	3ed5c696d9aaf77ac31d4f92e89bad45a0c111eefdac62fcb984a2aa6959c4ad	sha256	161183	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	East Asian	EAS	af_assigned	sd	0.845569369077581	estimated_from_source_maf	sd	total	analysis_level	102	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
35	GCST90202070	GCST90202070	Phenylacetate levels	Phenylacetate levels	phenylacetate measurement	EFO:0021012	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202070_GCST90202070.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202070/harmonised/GCST90202070.h.tsv.gz		GCST90202070_GCST90202070.filtered.tsv.gz	a984df9af698685cad17e551877217a9c2c4cb6554df04423716fd39a8a0f9d1	sha256	219973	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	East Asian	EAS	af_assigned	sd	0.959768314455505	estimated_from_source_maf	sd	total	analysis_level	82	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
36	GCST90202071	GCST90202071	Xanthurenate levels	Xanthurenate levels	xanthurenate measurement	EFO:0010551	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202071_GCST90202071.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202071/harmonised/GCST90202071.h.tsv.gz		GCST90202071_GCST90202071.filtered.tsv.gz	bf14d83c16e498fb1a3668c913e9de09c14bd26598a79af4ef5bfdc85b2186c5	sha256	160126	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	East Asian	EAS	af_assigned	sd	0.868129548742598	estimated_from_source_maf	sd	total	analysis_level	103	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
37	GCST90202072	GCST90202072	4-guanidinobutanoate levels	4-guanidinobutanoate levels	4-guanidinobutanoate measurement	EFO:0800003	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202072_GCST90202072.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202072/harmonised/GCST90202072.h.tsv.gz		GCST90202072_GCST90202072.filtered.tsv.gz	fd0665a5854550dbac95bd70790477382d1eb90e969f0dbb66ca3f13b227f34d	sha256	160159	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	East Asian	EAS	af_assigned	sd	0.977563039995665	estimated_from_source_maf	sd	total	analysis_level	103	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
38	GCST90202073	GCST90202073	Glycerophosphorylcholine (GPC) levels	Glycerophosphorylcholine (GPC) levels	glycerophosphorylcholine measurement	EFO:0020018	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202073_GCST90202073.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202073/harmonised/GCST90202073.h.tsv.gz		GCST90202073_GCST90202073.filtered.tsv.gz	d7b8d44070231575eb94c92ed471c4056444330d46d864939b9e2929a94ce405	sha256	160496	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	East Asian	EAS	af_assigned	sd	0.904162579405211	estimated_from_source_maf	sd	total	analysis_level	103	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
39	GCST90202074	GCST90202074	Hippurate levels	Hippurate levels	hippurate measurement	EFO:0010992	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202074_GCST90202074.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202074/harmonised/GCST90202074.h.tsv.gz		GCST90202074_GCST90202074.filtered.tsv.gz	9dca15ecbc0b70fae6b876e7ef7b2401e42adec96d0212d7e63b89d3cc393694	sha256	226103	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	East Asian	EAS	af_assigned	sd	0.976929324277287	estimated_from_source_maf	sd	total	analysis_level	104	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
40	GCST90199621	GCST90199621	Carnitine levels	Carnitine levels	carnitine measurement	EFO:0010469	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199621_GCST90199621.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199621/harmonised/GCST90199621.h.tsv.gz		GCST90199621_GCST90199621.filtered.tsv.gz	f9d7ca2a71131cb3d50b6b0c30ff99816c43ef66bb0b7ce6b419d0bdc951398a	sha256	1976518	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.983713207276219	estimated_from_source_maf	sd	total	analysis_level	8192	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
41	GCST90199622	GCST90199622	Benzoate levels	Benzoate levels	benzoate measurement	EFO:0021150	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199622_GCST90199622.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199622/harmonised/GCST90199622.h.tsv.gz		GCST90199622_GCST90199622.filtered.tsv.gz	89249bcafc37756d330e1eae3ae1a2929cca77860a360c011c4be00780f035af	sha256	1021894	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.989603478941087	estimated_from_source_maf	sd	total	analysis_level	7306	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
42	GCST90199623	GCST90199623	Maltotriose levels	Maltotriose levels	maltotriose measurement	EFO:0800142	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199623_GCST90199623.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199623/harmonised/GCST90199623.h.tsv.gz		GCST90199623_GCST90199623.filtered.tsv.gz	9911230b5c6824aba4c0e7083ad35babfa1425190d3099d850f4bf598d5fb3ca	sha256	483934	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.999978232708843	estimated_from_source_maf	sd	total	analysis_level	4641	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
43	GCST90199624	GCST90199624	Hippurate levels	Hippurate levels	hippurate measurement	EFO:0010992	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199624_GCST90199624.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199624/harmonised/GCST90199624.h.tsv.gz		GCST90199624_GCST90199624.filtered.tsv.gz	95031f90cb4973729c98dea6e623ed6549757ef1f1e4a5a2055e064024a22e92	sha256	232441	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.987127401805214	estimated_from_source_maf	sd	total	analysis_level	8260	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
44	GCST90199625	GCST90199625	Methionine sulfoxide levels	Methionine sulfoxide levels	Methionine sulfoxide measurement	EFO:0021650	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199625_GCST90199625.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199625/harmonised/GCST90199625.h.tsv.gz		GCST90199625_GCST90199625.filtered.tsv.gz	17949c4b9442224a49234b3b24c093da1bff0b5d392e6ff3751846465da4d134	sha256	233506	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.992700143968267	estimated_from_source_maf	sd	total	analysis_level	8243	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
45	GCST90199626	GCST90199626	Xanthurenate levels	Xanthurenate levels	xanthurenate measurement	EFO:0010551	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199626_GCST90199626.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199626/harmonised/GCST90199626.h.tsv.gz		GCST90199626_GCST90199626.filtered.tsv.gz	5eefdf98ff15582ce4363a63867ae44969a37b3c419c47cfe21badd9f7433a8a	sha256	1490977	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.981454695473963	estimated_from_source_maf	sd	total	analysis_level	7965	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
46	GCST90199627	GCST90199627	N-alpha-acetylornithine levels	N-alpha-acetylornithine levels	N-alpha-acetylornithine measurement	EFO:0800006	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199627_GCST90199627.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199627/harmonised/GCST90199627.h.tsv.gz		GCST90199627_GCST90199627.filtered.tsv.gz	6f89a73d8b2f84cbe5e06c0f00364e186ad2c557912089a54eb56e4f31bb2c82	sha256	494617	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.97748368955916	estimated_from_source_maf	sd	total	analysis_level	5606	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
47	GCST90199628	GCST90199628	3-methylhistidine levels	3-methylhistidine levels	3-methylhistidine measurement	EFO:0021004	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199628_GCST90199628.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199628/harmonised/GCST90199628.h.tsv.gz		GCST90199628_GCST90199628.filtered.tsv.gz	7269da413a960e2de1617868c2a9ab366208b33771ea050ad7d4339a721331b0	sha256	232977	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.989879111186329	estimated_from_source_maf	sd	total	analysis_level	8289	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
48	GCST90199629	GCST90199629	Glycerophosphorylcholine (GPC) levels	Glycerophosphorylcholine (GPC) levels	glycerophosphorylcholine measurement	EFO:0020018	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199629_GCST90199629.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199629/harmonised/GCST90199629.h.tsv.gz		GCST90199629_GCST90199629.filtered.tsv.gz	de5ffd064809833364e89175c053c4918613a4fecbf619df4533f6a66cfae5d5	sha256	512588	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.981820209557125	estimated_from_source_maf	sd	total	analysis_level	8212	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
49	GCST90199630	GCST90199630	Phenylacetate levels	Phenylacetate levels	phenylacetate measurement	EFO:0021012	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199630_GCST90199630.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199630/harmonised/GCST90199630.h.tsv.gz		GCST90199630_GCST90199630.filtered.tsv.gz	f8401074c4daeb9527dd1ccd05cf469cfa57c5877a66f5210b2eaf42954f322e	sha256	473411	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.970344942910643	estimated_from_source_maf	sd	total	analysis_level	7059	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
50	GCST90199631	GCST90199631	3-methyl-2-oxovalerate levels	3-methyl-2-oxovalerate levels	3-methyl-2-oxovalerate measurement	EFO:0021021	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199631_GCST90199631.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199631/harmonised/GCST90199631.h.tsv.gz		GCST90199631_GCST90199631.filtered.tsv.gz	afb4c0d0d45c045a91cba3be305c851a756e191f905f7906e92be7f643abc983	sha256	508752	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.960873020693312	estimated_from_source_maf	sd	total	analysis_level	8257	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
51	GCST90199632	GCST90199632	Tartarate levels	Tartarate levels	tartarate measurement	EFO:0800941	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199632_GCST90199632.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199632/harmonised/GCST90199632.h.tsv.gz		GCST90199632_GCST90199632.filtered.tsv.gz	464d8e69e822902307764e347d5bca5fccc9f095b8e74497c1bda1f552ad8070	sha256	858622	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.996251569598745	estimated_from_source_maf	sd	total	analysis_level	7099	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
52	GCST90199633	GCST90199633	Suberate (C8-DC) levels	Suberate (C8-DC) levels	suberate (C8-DC) measurement	EFO:0800181	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199633_GCST90199633.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199633/harmonised/GCST90199633.h.tsv.gz		GCST90199633_GCST90199633.filtered.tsv.gz	888a898a8999be30c6e4819fe40872fc04474e756d829b1fa05a39151b105196	sha256	233830	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.979058425161622	estimated_from_source_maf	sd	total	analysis_level	6902	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
53	GCST90199634	GCST90199634	5-hydroxylysine levels	5-hydroxylysine levels	5-hydroxylysine measurement	EFO:0800002	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199634_GCST90199634.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199634/harmonised/GCST90199634.h.tsv.gz		GCST90199634_GCST90199634.filtered.tsv.gz	4ae44933c972654674584129c026d6406f454d398dd5a03c22ee69d377697ea3	sha256	1951261	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.979850976432927	estimated_from_source_maf	sd	total	analysis_level	8128	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
54	GCST90199635	GCST90199635	3-phenylpropionate hydrocinnamate levels	3-phenylpropionate hydrocinnamate levels	3-phenylpropionate hydrocinnamate measurement	EFO:0021010	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199635_GCST90199635.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199635/harmonised/GCST90199635.h.tsv.gz		GCST90199635_GCST90199635.filtered.tsv.gz	4e963ac9906ea46157ff6e96511ef4064fa43bdaadc8e2368cd9ecbc27ca71ec	sha256	844628	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.985609209116704	estimated_from_source_maf	sd	total	analysis_level	7925	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
55	GCST90199636	GCST90199636	Kynurenine levels	Kynurenine levels	kynurenine measurement	EFO:0008529	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199636_GCST90199636.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199636/harmonised/GCST90199636.h.tsv.gz		GCST90199636_GCST90199636.filtered.tsv.gz	97ba1f5e9c4fb34f9c580bd60f63efb54062c79c1cc1aedfb2059129807193ab	sha256	1600765	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.951630992436009	estimated_from_source_maf	sd	total	analysis_level	8244	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
56	GCST90199637	GCST90199637	N-acetylglutamate levels	N-acetylglutamate levels	N-acetylglutamate measurement	EFO:0800005	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199637_GCST90199637.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199637/harmonised/GCST90199637.h.tsv.gz		GCST90199637_GCST90199637.filtered.tsv.gz	1254ea3a6da2e10fae181ab339abf074a3672dd01b7172bdd6e9b4852cee995e	sha256	1365357	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.964917202740288	estimated_from_source_maf	sd	total	analysis_level	7802	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
57	GCST90199638	GCST90199638	Glycerol 3-phosphate levels	Glycerol 3-phosphate levels	glycerol-3-phosphate measurement	EFO:0010488	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199638_GCST90199638.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199638/harmonised/GCST90199638.h.tsv.gz		GCST90199638_GCST90199638.filtered.tsv.gz	4ec326f354da610606e636a99eb284b5e443428db70e24543942c6af523b76ef	sha256	982839	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.997602825460539	estimated_from_source_maf	sd	total	analysis_level	8201	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
58	GCST90199639	GCST90199639	Imidazole lactate levels	Imidazole lactate levels	imidazole lactate measurement	EFO:0800004	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199639_GCST90199639.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199639/harmonised/GCST90199639.h.tsv.gz		GCST90199639_GCST90199639.filtered.tsv.gz	014756552ccd889a211615eae06d8801f0b5e264e82dd6bf09badb6b997891be	sha256	2369671	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.975905717656672	estimated_from_source_maf	sd	total	analysis_level	8256	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
59	GCST90199640	GCST90199640	4-guanidinobutanoate levels	4-guanidinobutanoate levels	4-guanidinobutanoate measurement	EFO:0800003	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199640_GCST90199640.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199640/harmonised/GCST90199640.h.tsv.gz		GCST90199640_GCST90199640.filtered.tsv.gz	3d8eda39a451bacbc16602f0fad2a08e9512356f5f0a1b240d93a6f1c9a4afff	sha256	841007	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.955080165264457	estimated_from_source_maf	sd	total	analysis_level	8144	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
60	GCST90203093	GCST90203093	Carnitine levels	Carnitine levels	carnitine measurement	EFO:0010469	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90203093_GCST90203093.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90203001-GCST90204000/GCST90203093/harmonised/GCST90203093.h.tsv.gz		GCST90203093_GCST90203093.filtered.tsv.gz	fec6e92af6dc49d00784b859cb1d87a93824a5be6b4d68ea60d8a2fe002eae4b	sha256	283702	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	South Asian	SAS	af_assigned	sd	0.972910142237942	estimated_from_source_maf	sd	total	analysis_level	107	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
61	GCST90203094	GCST90203094	Benzoate levels	Benzoate levels	benzoate measurement	EFO:0021150	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90203094_GCST90203094.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90203001-GCST90204000/GCST90203094/harmonised/GCST90203094.h.tsv.gz		GCST90203094_GCST90203094.filtered.tsv.gz	feb5175a6aab49bda485d0a6f3c657eb444b15bec53f74f3871545bc9ab7901e	sha256	197604	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	South Asian	SAS	af_assigned	sd	1.01546059836468	estimated_from_source_maf	sd	total	analysis_level	99	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
62	GCST90203095	GCST90203095	Glycodeoxycholate levels	Glycodeoxycholate levels	glycodeoxycholate measurement	EFO:0010493	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90203095_GCST90203095.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90203001-GCST90204000/GCST90203095/harmonised/GCST90203095.h.tsv.gz		GCST90203095_GCST90203095.filtered.tsv.gz	72eb75d299e3f35f0b71b711eb0af8d2d651dd4ad65b49c2ae4218acba98d6c3	sha256	136739	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	South Asian	SAS	af_assigned	sd	0.969189959850346	estimated_from_source_maf	sd	total	analysis_level	69	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
