analysis_id	source_analysis_id	status	skip_reason	af_source	ancestry_reference_id	original_sd	original_sd_method	n_variants_considered	n_variants_overlapping	n_variants_excluded_ambiguous	n_variants_excluded_mismatch	n_variants_excluded_missing_af	n_variants_excluded_maf	n_variants_retained	maf_min	maf_max	implied_sd_median	sd_dispersion	sd_notes	estimator_version
GCST90240167	GCST90240167	passed	""	reference	ukb-hg38-eur-af		declared_standardised	5410	4862	676	251	0	474	3461	0.01	0.5	1.00329561434874	0.0211522488918172	median implied SD=1.003, dispersion=0.021, n=3461	effect_scale_validation.R:v1
GCST90240168	GCST90240168	passed	""	reference	ukb-hg38-eur-af		declared_standardised	7476	6529	974	279	0	468	4808	0.01	0.5	1.00549476562449	0.0232617421244692	median implied SD=1.005, dispersion=0.023, n=4808	effect_scale_validation.R:v1
GCST90240169	GCST90240169	passed	""	reference	ukb-hg38-eur-af		declared_standardised	13069	11903	1684	504	0	1024	8691	0.01	0.5	1.00346839662795	0.0177872972594013	median implied SD=1.003, dispersion=0.018, n=8691	effect_scale_validation.R:v1
GCST90240170	GCST90240170	passed	""	reference	ukb-hg38-eur-af		declared_standardised	20795	18954	2617	810	0	1578	13949	0.01	0.5	1.00474892979003	0.0198243741774759	median implied SD=1.005, dispersion=0.020, n=13949	effect_scale_validation.R:v1
GCST90240171	GCST90240171	passed	""	reference	ukb-hg38-eur-af		declared_standardised	31955	28564	4776	1055	0	1615	21118	0.01	0.5	1.00870661164609	0.021328060120857	median implied SD=1.009, dispersion=0.021, n=21118	effect_scale_validation.R:v1
GCST90240172	GCST90240172	passed	""	reference	ukb-hg38-eur-af		declared_standardised	15896	14485	1961	676	0	1094	10754	0.01	0.5	1.00587234033917	0.0218963178832661	median implied SD=1.006, dispersion=0.022, n=10754	effect_scale_validation.R:v1
GCST90240173	GCST90240173	passed	""	reference	ukb-hg38-eur-af		declared_standardised	12247	10986	1539	484	0	887	8076	0.01	0.5	1.00717939980088	0.0215300352933472	median implied SD=1.007, dispersion=0.022, n=8076	effect_scale_validation.R:v1
GCST90240174	GCST90240174	passed	""	reference	ukb-hg38-eur-af		declared_standardised	6609	5992	806	222	0	448	4516	0.01	0.5	1.00863811602607	0.0230166460396293	median implied SD=1.009, dispersion=0.023, n=4516	effect_scale_validation.R:v1
GCST90240175	GCST90240175	passed	""	reference	ukb-hg38-eur-af		declared_standardised	6233	5620	771	238	0	504	4107	0.01	0.5	1.00083470782852	0.0238497366537703	median implied SD=1.001, dispersion=0.024, n=4107	effect_scale_validation.R:v1
GCST90240176	GCST90240176	passed	""	reference	ukb-hg38-eur-af		declared_standardised	24707	22273	2972	917	0	1579	16805	0.01	0.5	1.00945761452103	0.020510759236018	median implied SD=1.009, dispersion=0.021, n=16805	effect_scale_validation.R:v1
GCST90240177	GCST90240177	passed	""	reference	ukb-hg38-eur-af		declared_standardised	7265	6603	910	270	0	464	4959	0.01	0.5	1.00530678128628	0.0204428471455538	median implied SD=1.005, dispersion=0.020, n=4959	effect_scale_validation.R:v1
GCST90240178	GCST90240178	passed	""	reference	ukb-hg38-eur-af		declared_standardised	10950	9906	1336	453	0	911	7206	0.01	0.5	1.00310899125355	0.0229850439897216	median implied SD=1.003, dispersion=0.023, n=7206	effect_scale_validation.R:v1
GCST90240179	GCST90240179	passed	""	reference	ukb-hg38-eur-af		declared_standardised	22691	20386	2778	847	0	1473	15288	0.01	0.5	1.00553568922556	0.0209116298240171	median implied SD=1.006, dispersion=0.021, n=15288	effect_scale_validation.R:v1
GCST90240180	GCST90240180	passed	""	reference	ukb-hg38-eur-af		declared_standardised	7991	7330	1014	307	0	466	5543	0.01	0.5	1.00326151449336	0.0195988075235284	median implied SD=1.003, dispersion=0.020, n=5543	effect_scale_validation.R:v1
GCST90240181	GCST90240181	passed	""	reference	ukb-hg38-eur-af		declared_standardised	35292	30664	4130	1175	0	2035	23324	0.01	0.5	1.00931090908005	0.0234448629075641	median implied SD=1.009, dispersion=0.023, n=23324	effect_scale_validation.R:v1
GCST90240182	GCST90240182	passed	""	reference	ukb-hg38-eur-af		declared_standardised	19193	16553	2337	657	0	850	12709	0.01	0.5	1.00897848203091	0.0221992534109005	median implied SD=1.009, dispersion=0.022, n=12709	effect_scale_validation.R:v1
