analysis_id	status	error	attempt	retry_count	source_url	downloaded_bytes	input_rows	retained_rows	retained_fraction	cis_rows	significant_trans_regions	significant_trans_rows	suggestive_leads	output_file	output_bytes	checksum_algorithm	checksum	download_seconds	filter_seconds	total_seconds
GCST90240199	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240199/harmonised/GCST90240199.h.tsv.gz	305366741	10042828	14759	0.00147	8040	1	6672	47	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/APMAP_GCST90240199.filtered.tsv.gz	239058	sha256	07c7319f22110ee3a754a0f9704108167b390ca592e26d0294937d3cf31caadc	9.9	25.3	35.1
GCST90240200	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240200/harmonised/GCST90240200.h.tsv.gz	305361723	10042828	5325	0.00053	5298	0	0	27	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/ADPGK_GCST90240200.filtered.tsv.gz	90014	sha256	dc30ae262fe0889febe8e7ce07cc7f28c2eea723d88d9a2855aa39383238d269	9.8	26.1	35.9
GCST90240201	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240201/harmonised/GCST90240201.h.tsv.gz	305410906	10042828	25525	0.002542	7399	2	18096	30	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/NUDT9_GCST90240201.filtered.tsv.gz	419662	sha256	4a5ad64b5350c828736d5ed85611d296a8fa4456b5c7c6583e08e23bc8d59090	10.2	26.1	36.3
GCST90240202	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240202/harmonised/GCST90240202.h.tsv.gz	305331078	10042828	8096	0.000806	8052	0	0	44	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/CD38_GCST90240202.filtered.tsv.gz	133013	sha256	77434c1f4225fab288ef4818f1354c60e6370975676efcd8c21fbf81322105d1	10.5	23.6	34.1
GCST90240203	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240203/harmonised/GCST90240203.h.tsv.gz	305354720	10042828	29642	0.002952	8052	3	21559	31	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/CD38_GCST90240203.filtered.tsv.gz	485091	sha256	00ab992fdae39f1aa47c7a61bc33213532d44af169b198b676096f875f261d5e	9.8	24	33.8
GCST90240204	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240204/harmonised/GCST90240204.h.tsv.gz	305306965	10042828	17157	0.001708	8259	1	8861	37	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/BST1_GCST90240204.filtered.tsv.gz	286316	sha256	d154ca249ba8dba45b467d0f4c3698af1273db40880de92c218c6e2b6fd35a09	10.1	23.5	33.7
GCST90240205	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240205/harmonised/GCST90240205.h.tsv.gz	305378136	10042828	15920	0.001585	6607	1	9285	28	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/ARF3_GCST90240205.filtered.tsv.gz	259972	sha256	cf3f85b09197c4a153a5f0b7e7c027debef5e9d6fb7729fa71616271935821f4	10.3	23.7	34
GCST90240206	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240206/harmonised/GCST90240206.h.tsv.gz	305357950	10042828	25906	0.00258	6397	2	19478	31	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/ARF6_GCST90240206.filtered.tsv.gz	426876	sha256	a8ccc0b4f18908073d32c042759ac25440d359924feb7179192082333228976c	10.4	23.3	33.8
GCST90240207	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240207/harmonised/GCST90240207.h.tsv.gz	305376586	10042828	15049	0.001498	4303	1	10708	38	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/ARFGAP2_GCST90240207.filtered.tsv.gz	246601	sha256	f85928c481d1f67c3787ceb69eca4cee1d3a69317b9171973e3a8e55951b9dc5	9.6	22.7	32.2
GCST90240208	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240208/harmonised/GCST90240208.h.tsv.gz	305348434	10042828	17700	0.001762	6966	1	10696	38	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/GGA1_GCST90240208.filtered.tsv.gz	287698	sha256	73810b775957df86ea9eb1b53e9eb7a2b65f125a4009bdaa583e4de974c6c512	9.9	25.1	35
